,imdbID,imdbActorID,ActorName,tmdbActorID,tmdbActorName,Gender
253,tt0113971,nm0087787,Ewa Blaszczyk,39583,Ewa Błaszczyk,1
254,tt1288376,nm1402546,Sibel Kekilli,5118,Sibel Kekilli,1
255,tt1288376,nm3137798,Nizam Schiller,133817,Nizam Schiller,0
256,tt1288376,nm0015764,Derya Alabora,133818,Derya Alabora,1
257,tt0844708,nm0226813,Garret Dillahunt,39520,Garret Dillahunt,2
258,tt0844708,nm0005321,Monica Potter,2140,Monica Potter,1
259,tt0844708,nm0001282,Tony Goldwyn,3417,Tony Goldwyn,2
260,tt0206117,nm0215803,David Sánchez del Rey,567515,David Sánchez del Rey,0
261,tt0206117,nm0654841,Adriana Ozores,87017,Adriana Ozores,1
262,tt0206117,nm0959575,Roberto Álvarez,3621,Roberto Álvarez,2
263,tt0318025,nm1234999,Wei Wei Zhao,589044,Wei Wei Zhao,0
264,tt0318025,nm1235551,Qiong Wu,589045,Qiong Wu,0
265,tt0318025,nm0955504,Tao Zhao,24044,Zhao Tao,1
266,tt0066565,nm0476828,Anatoliy Kuznetsov,1119005,Anatoliy Kuznetsov,2
267,tt0066565,nm0527226,Pavel Luspekayev,86729,Pavel Luspekayev,0
268,tt0066565,nm0592806,Spartak Mishulin,86640,Spartak Mishulin,0
269,tt11456054,nm8908475,Isabel May,1972974,Isabel May,1
270,tt11456054,nm0593664,Radha Mitchell,8329,Radha Mitchell,1
271,tt11456054,nm0005048,Thomas Jane,11155,Thomas Jane,2
272,tt0907619,nm1121870,Mahesh Babu,116924,Mahesh Babu,2
273,tt0907619,nm1328152,Shriya Saran,145628,Shriya Saran,1
276,tt8649186,nm1452458,Aleksandra Konieczna,131695,Aleksandra Konieczna,1
277,tt8649186,nm6264850,Eliza Rycembel,1447195,Eliza Rycembel,1
278,tt1550524,nm3231354,Nick Thurston,557930,Nick Thurston,2
279,tt1550524,nm0927727,Geoffrey Wigdor,12263,Geoffrey Wigdor,2
280,tt1550524,nm0002332,Stephen Lang,32747,Stephen Lang,2
281,tt0087682,nm0000176,Nastassja Kinski,2630,Nastassja Kinski,1
282,tt0087682,nm0001698,John Savage,47879,John Savage,2
283,tt0087682,nm0001018,Keith Carradine,30613,Keith Carradine,2
284,tt0109855,nm0401945,Renée Humphrey,23647,Renée Humphrey,1
285,tt0109855,nm0001860,Alicia Witt,3128,Alicia Witt,1
286,tt0109855,nm0608632,William R. Moses,68527,William R. Moses,2
