imdbID,tmdbID,Genre
tt5253282,397601,Comedy
tt5253282,397601,Drama
tt3646944,379088,Action
tt3646944,379088,Adventure
tt3646944,379088,Animation
tt3646944,379088,Fantasy
tt0371589,15177,Romance
tt0371589,15177,Drama
tt0371589,15177,Comedy
tt1467273,36940,Comedy
tt1467273,36940,Drama
tt0111693,10449,Drama
tt0111693,10449,Romance
tt0945513,45612,Thriller
tt0945513,45612,Science Fiction
tt0945513,45612,Mystery
tt0993778,14234,Drama
tt0448011,13811,Action
tt0448011,13811,Adventure
tt0448011,13811,Drama
tt0448011,13811,Mystery
tt0448011,13811,Science Fiction
tt0448011,13811,Thriller
tt1620719,44425,Action
tt1620719,44425,Comedy
tt1620719,44425,Crime
tt1706598,258284,Thriller
tt1706598,258284,Drama
tt1706598,258284,Crime
tt1706598,258284,Mystery
tt0089866,106380,Drama
tt5186236,411678,Drama
tt0142242,34433,Animation
tt0142242,34433,Science Fiction
tt0142242,34433,Action
tt0105019,5899,Comedy
tt0109665,18190,Drama
tt0109665,18190,Mystery
tt0109665,18190,Thriller
tt0028212,12684,Drama
tt0028212,12684,Thriller
tt7853242,505175,Comedy
tt7853242,505175,Romance
tt5962210,411741,Comedy
tt5962210,411741,Drama
tt0062060,143729,Comedy
tt0062060,143729,Drama
tt0454931,523,Drama
tt0454931,523,Horror
tt5362988,395834,Crime
tt5362988,395834,Drama
tt5362988,395834,Mystery
tt5362988,395834,Thriller
tt0056626,76344,Romance
tt0396707,18032,Adventure
tt0396707,18032,Fantasy
tt0396707,18032,Drama
tt0396707,18032,Science Fiction
tt0396707,18032,Romance
tt0396707,18032,Family
tt12838766,581389,Drama
tt12838766,581389,Fantasy
tt12838766,581389,Science Fiction
tt0102313,47252,Comedy
tt0102313,47252,Crime
tt0118100,49935,Romance
tt0118100,49935,Crime
tt0118100,49935,Drama
tt0430051,86,Drama
tt0430051,86,Romance
tt0160620,18561,Crime
tt0160620,18561,Drama
tt0160620,18561,Mystery
tt0160620,18561,Thriller
tt0095031,10141,Crime
tt0095031,10141,Comedy
tt1833844,116811,Horror
tt1833844,116811,Drama
tt1833844,116811,Thriller
tt1648216,61979,Romance
tt1648216,61979,Drama
tt0070359,48693,Drama
tt0070359,48693,Romance
tt0070359,48693,Comedy
tt0101694,28455,Thriller
tt0101694,28455,Drama
tt0360960,37471,Drama
tt0360960,37471,Horror
tt0360960,37471,Romance
tt6212984,470317,Drama
tt5693136,421560,Drama
tt5693136,421560,History
tt4511460,326282,Comedy
tt0051808,1059,Adventure
tt0051808,1059,Drama
tt0051808,1059,Action
tt0051808,1059,Comedy
tt4622682,609734,Fantasy
tt4622682,609734,Romance
tt0081554,11337,Comedy
tt0081554,11337,Drama
tt0081554,11337,Romance
tt0351817,12496,Drama
tt0351817,12496,Romance
tt0055031,821,Drama
tt0055031,821,History
tt0055031,821,War
tt0881200,14044,Action
tt0881200,14044,History
tt0075201,40829,Action
tt0374583,11399,Comedy
tt0374583,11399,Drama
tt0068240,12530,Comedy
tt0068240,12530,Romance
tt2769896,230731,Animation
tt2769896,230731,Family
tt0060648,36457,Drama
tt0039927,56930,Action
tt0039927,56930,Drama
tt0039927,56930,Romance
tt0107165,47707,Comedy
tt0107165,47707,Drama
tt0107214,11122,Comedy
tt0107214,11122,Drama
tt0054731,37343,Crime
tt0054731,37343,Drama
tt0054731,37343,Mystery
tt0054731,37343,Thriller
tt0365376,4552,Drama
tt0365376,4552,Horror
tt0365376,4552,Mystery
tt0809951,6079,Comedy
tt0082317,203158,Drama
tt0120394,15321,Comedy
tt0120394,15321,Drama
tt4415016,331251,Comedy
tt4415016,331251,Drama
tt0420260,29269,Drama
tt0468795,27337,Comedy
tt0468795,27337,Music
tt2406252,197082,Drama
tt0026252,29877,Family
tt0026252,29877,Music
tt0026252,29877,Comedy
tt3765326,293982,Drama
tt3765326,293982,History
tt3765326,293982,War
tt0053849,99345,Drama
tt0053849,99345,War
tt0066563,42569,Comedy
tt0116014,37702,Action
tt0116014,37702,Adventure
tt0116014,37702,Comedy
tt5929750,429107,Comedy
tt5929750,429107,Drama
tt8721556,564704,Drama
tt8721556,564704,Action
