imdbID,imdbDirectorID,DirectorName,tmdbDirectorID,Gender
tt0437777,nm1065402,Sanaa Hamri,64140,1
tt0095511,nm0222545,Michel Deville,39243,2
tt0060315,nm0179281,Sergio Corbucci,49450,2
tt0363589,nm0001814,Gus Van Sant,5216,2
tt0433350,nm0110654,Q. Allan Brocka,53603,2
tt0323630,nm0014203,Byeong-ki Ahn,123017,2
tt0096787,nm0089940,Don Bluth,40345,2
tt0096787,nm0325776,Gary Goldman,12881,2
tt0096787,nm0473941,Dan Kuenster,69605,2
tt0165854,nm0001752,Steven Soderbergh,1884,2
tt3848892,nm3109770,Neeraj Pandey,123219,2
tt2178941,nm0678857,Christian Petzold,2332,2
tt6966692,nm0268380,Peter Farrelly,7396,2
tt0455323,nm0919369,Paul Weitz,3289,2
tt0057999,nm0542720,Delbert Mann,67451,2
tt0082073,nm0893872,Carlo Verdone,89193,2
tt3844362,nm2674307,Patrick Brice,1155547,2
tt1686784,nm0007139,Hark Tsui,26760,2
tt0190861,nm0423646,Roland Joffé,8965,2
tt0060959,nm0161615,Vera Chytilová,124137,1
tt0118826,nm0803203,Rob Sitch,42378,2
tt0073109,nm0171917,James F. Collier,1055778,2
tt0107625,nm0796361,Harald Sicheritz,48084,2
tt0102500,nm0905237,Jonathan Wacks,196769,2
tt1821682,nm1856787,Rajesh Pillai,1118110,2
tt10492998,nm0893111,Massimo Venier,120018,2
tt6433456,nm0278803,Pernille Fischer Christensen,110601,1
tt0120241,nm0640964,Peter O'Fallon,41472,2
tt0022150,nm0163229,René Clair,33166,2
tt0042869,nm0681635,Irving Pichel,20370,2
tt6436726,nm2573530,Patrick Vollrath,1529110,2
tt2707858,nm0504267,Jalil Lespert,72327,2
tt3174376,nm1093039,Mike Flanagan,551463,2
tt0100337,nm0199381,Georgiy Daneliya,98835,2
tt0177789,nm0661751,Dean Parisot,15002,2
tt0119794,nm0759368,Gabriele Salvatores,55916,2
tt1440232,nm0133899,Guillaume Canet,19866,2
tt4842646,nm0641373,Tommy O'Haver,62514,2
tt0331811,nm1009775,Greg Marcks,57125,2
tt0097123,nm0000095,Woody Allen,1243,2
tt0952682,nm2158772,Jeff Nichols,71872,2
tt0054814,nm0303120,Carmine Gallone,33464,2
tt3966404,nm2197025,Deniz Gamze Ergüven,1128442,1
tt1616195,nm0000142,Clint Eastwood,190,2
tt0290329,nm0586281,Takashi Miike,17282,2
tt1133559,nm0945506,Yasuichirô Yamamoto,101915,2
tt0082100,nm0684509,Claude Pinoteau,1961,2
tt0050762,nm0804752,Arne Skouen,224783,2
tt6952960,nm2528690,Sara Colangelo,1279519,1
tt4010918,nm1045937,Joon-ik Lee,126809,2
tt2383068,nm1488800,Ti West,101542,2
tt0113649,nm0033005,Vicente Aranda,105153,2
tt0035015,nm0000080,Orson Welles,40,2
tt0035015,nm0281381,Fred Fleck,14511,2
tt0035015,nm0936404,Robert Wise,1744,2
tt0909388,nm0797655,Jukka-Pekka Siili,108481,2
tt0244970,nm0001282,Tony Goldwyn,3417,2
tt0043918,nm0245213,Julien Duvivier,39058,2
tt0280477,nm0510912,Justin Lin,58189,2
tt0064519,nm0663577,Robert Parrish,8514,2
tt7912470,nm7186336,Christina Kyi,1967831,1
tt5638642,nm1410159,David Bruckner,141962,2
tt1405810,nm0654858,Ferzan Ozpetek,72197,2
tt0306597,nm0263179,Rodney Evans,1072698,2
tt3808342,nm1841577,László Nemes,1454941,2
tt2639344,nm0755158,Ira Sachs,53708,2
tt5538568,nm2690651,Dash Shaw,1141766,2
tt0067134,nm0063383,Luigi Bazzoni,128432,2
tt1664806,nm0711745,Mani Ratnam,78747,2
tt0117333,nm0005509,Jon Turteltaub,12962,2
tt4428814,nm0110300,Stéphane Brizé,7288,2
tt0094712,nm0548533,Peter Markle,67632,2
tt8652728,nm4099092,Trey Edward Shults,1423660,2
tt0072284,nm0662899,Gordon Parks Jr.,88148,2
tt0068815,nm0593014,Kenji Misumi,80702,2
tt0093105,nm0001469,Barry Levinson,8246,2
tt0117398,nm0201094,Jean-Pierre Dardenne,56209,2
tt0117398,nm0201095,Luc Dardenne,45138,2
tt1020530,nm1220140,James Watkins,63306,2
tt0072271,nm0001361,Tobe Hooper,10051,2
tt0047313,nm0001120,Vittorio De Sica,12329,2
tt0070819,nm0291035,Melvin Frank,50567,2
tt0462322,nm0001675,Robert Rodriguez,2294,2
tt0462322,nm0744834,Eli Roth,16847,2
tt0462322,nm0000233,Quentin Tarantino,138,2
tt8079248,nm0000965,Danny Boyle,2034,2
tt0055278,nm0728688,Martin Ritt,18854,2
tt0053779,nm0000019,Federico Fellini,4415,2
tt3874544,nm0569891,Tom McGrath,18864,2
tt0048752,nm0481838,Edvin Laine,150977,2
tt10329134,nm5010376,Kuang-Hui Liu,2693161,2
tt0086497,nm0614276,Geoff Murphy,32277,2
tt0286499,nm0149446,Gurinder Chadha,6220,1
tt0061101,nm0840671,Seijun Suzuki,82461,2
