tmdb_id,imdb_id,title,production_companies
41428,tt0096251,Tetsuo: The Iron Man,"K2 Spirit, Kaijyu Theater, Japan Home Video"
104083,tt0041994,Tulsa,Eagle-Lion Films
45658,tt1531663,Everything Must Go,IM Global
39497,tt0180679,Escanaba in da Moonlight,"Purple Rose Productions, Purple Rose Films"
8014,tt0392883,Valley of Flowers,"Elzévir Films, Monsoon Films Private Limited, TF1 International, Filmcoopi Zürich, Diaphana Films, TPS Star, Eurimages, Hessen Invest, Pan Nalin Pictures, WonderWorks, CNC, France 2 Cinéma, MEDIA Programme of the European Union, Pandora Film"
87977,tt0055361,The Rebel,Associated British Picture Corporation
43619,tt1315962,Leaving,"Pyramide Productions, Caméra One, VMP, Solaire Production, CinéCinéma, Cofinova 5, Région Languedoc-Roussillon, CNC, Cofinova 3, PROCIREP, Angoa-Agicoa, Canal+"
74154,tt0455663,Nuvvostanante Nenoddantana,Sumanth Art Productions
32990,tt0343221,Mother of Mine,"Film i Skåne, Matila Röhr Productions (MRP), Omega Film & Television, HOBAB"
53186,tt0124012,Morgiana,Filmové studio Barrandov
1812,tt0162710,Trick,"Roadside Attractions, Good Machine"
35125,tt0081606,Taxi zum Klo,Exportfilm Bischoff & Co.
9821,tt0119670,The Mighty,Miramax
266030,tt3660370,Party Girl,Elzévir Films
9352,tt0356150,EuroTrip,"The Montecito Picture Company, Blue Sea Productions, DreamWorks Pictures"
69214,tt1094278,Tricks,"Zjednoczenie Artystów i Rzemieslników, WFF Wroclaw"
17888,tt0479651,Dasavatharam,Aascar Films
20742,tt0811066,Shootout at Lokhandwala,"White Feather Films, Balaji Motion Pictures"
612502,tt10579992,Mister America,"Abso Lutely Productions, Magnolia Pictures, Williams Street"
38006,tt0050095,The Abominable Snowman,"Clarion Films, Hammer Film Productions"
62190,tt0270197,American Gun,
158908,tt2113075,The Inevitable Defeat of Mister & Pete,"Venture Forth, iDeal Partners Film Fund, State Street Pictures, Floren Shieh Productions, Archer Gray, Unified Pictures"
437081,tt7160176,The Fortress,Siren Pictures
10434,tt0107209,"Faraway, So Close!","Road Movies Filmproduktion, Tobis"
20359,tt0419058,Phir Hera Pheri,Base Industries Group
406535,tt5204020,Scarred Hearts,"Komplizen Film, Hi Film Productions"
23898,tt0372478,The Stroll,"Rock Films, Russian Ministry of Culture"
369883,tt4981636,Middle School: The Worst Years of My Life,"Lionsgate, CBS Films, Participant"
374111,tt4253360,The Himalayas,"JK Film, CJ Entertainment"
10337,tt0101516,Bugsy,"Baltimore Pictures, TriStar Pictures"
9748,tt0094933,D.O.A.,"Touchstone Pictures, Bigelow Productions"
492999,tt7941892,Attack on Titan: The Roar of Awakening,Wit Studio
262009,tt2534660,In the Crosswind,"Baltic Pine Films, Allfilm"
42728,tt0061209,You're a Big Boy Now,Seven Arts Productions
583783,tt9816970,Midday Event: Trace of Blood,"Simaye Mehr, Farabi Cinema"
209185,tt2319580,The Grand Seduction,"Morag Loves Company, Max Films Productions"
70753,tt0009652,Stella Maris,Mary Pickford Company
58156,tt1483753,Pure,"Film i Väst, Tre Vänner"
9999,tt0499101,The Free Will,"Colonia Media, ARD"
13338,tt0464184,Sione's Wedding,South Pacific Pictures
108564,tt0050928,Saint Joan,"Wheel Productions, United Artists"
28871,tt0887745,How About You...,
280271,tt0255373,Midhunam,Pranavam Arts International
171846,tt2409300,Killers,"XYZ Films, Nikkatsu Corporation, Guerilla Merah Films, Pt. Merantau Films"
95838,tt0059114,Blood for a Silver Dollar,"Les Films Corona, Adriatica Film, Dorica Film, Explorer Film '58, Fono Roma, Franco Roma"
17238,tt0092637,The Belly of an Architect,"Sacis, Callender Company, Mondial, Tangram Film, Film Four International, British Screen, Hemdale Group"
228194,tt2980648,The Hundred-Foot Journey,"Amblin Entertainment, Harpo Films, Participant, Imagenation Abu Dhabi FZ, Reliance Entertainment, Touchstone Pictures, DreamWorks Pictures"
46691,tt0065916,Joe,Cannon Group
431,tt0123755,Cube,"Cube Libre, Feature Film Project, Harold Greenberg Fund, Odeon Films, Ontario Film Development Corporation, Téléfilm Canada, Viacom Canada, Lionsgate"
371741,tt4072326,Ali and Nino,"PeaPie Films, AZ Celtic Films"
42237,tt0074718,Jonah Who Will Be 25 in the Year 2000,
68053,tt0070641,Slap the Monster on Page One,"Labrador Films, Jupiter Generale Cinematografica, UTI Produzioni Associate"
22156,tt0280990,The Nest,Pathé Distribution
22595,tt0019412,Speedy,The Harold Lloyd Corporation
1640,tt0375679,Crash,"Lionsgate, Blackfriars Bridge Films, Yari Film Group, Bob Yari Productions, ApolloProScreen Filmproduktion, Bull's Eye Entertainment, DEJ Productions, Harris Company"
1252,tt0441774,Lonely Hearts,"Millennium Films, EFO Films"
363126,tt3335606,Berlin Syndrome,"Photoplay Films, Screen Australia, Memento Films International, Film Victoria, Aquarius Films, Fulcrum Media Finance, DDP Studios"
48769,tt0086079,Gramps Is in the Resistance,Les Films Christian Fechner
9958,tt0425601,Trailer Park Boys: The Movie,Alliance Films
61539,tt1151923,Rage,Dynamo
413543,tt5946128,Dear Zindagi,"Red Chillies Entertainment, Dharma Productions, Hope Productions"
27973,tt0028773,Dead End,"Samuel Goldwyn Productions, United Artists"
608746,tt10483386,Mumbai Saga,"T-Series, White Feather Films"
13567,tt0086320,Sleepaway Camp,"American Eagle, United Film Distribution Company (UFDC)"
294655,tt4047112,Jeeva,"Vishal Film Factory, The Next Big Film Production, The Show People"
246741,tt3416742,What We Do in the Shadows,"Unison Films, Defender Films, Funny or Die, New Zealand Film Commission, Resnick Interactive Development"
504592,tt8311958,Divine Love,"Desvia, House on Fire, Jirafa, Malbicho Cine, Mer Film AS, Bord Cadre Films, Film i Väst, Canal Brasil, Globo Filmes, Snowglobe"
264418,tt2538222,You're Killing Me Susana,"La Banda Films, Cuévano Films"
75026,tt0074947,"Secluded, Near Woods",Filmové studio Barrandov
73922,tt0173024,A Visitor to a Museum,"Lenfilm, Trete Tvorcheskoe Obedinenie, Goskino USSR, CSM Filmproduktion, ZDF"
464287,tt5275476,Bed Bugs,"Poison, Story House Productions"
587301,tt8783532,School Life,"Mandarin Production, Kallouche Cinéma"
335983,tt1270797,Venom,"Avi Arad Productions, Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures"
26454,tt0301181,Deliver Us from Eva,"Baltimore Spring Creek Productions, Focus Features"
54897,tt1544600,The Grace Card,GraceWorks Pictures
13337,tt0772157,Broken English,"Vox3 Films, HDNet Films, Backup Media, Phantom Films"
8208,tt0025452,The Man Who Knew Too Much,Gaumont-British Picture Corporation
361403,tt3863870,I'm Off Then,"UFA Cinema, Gesellschaft für feine Filme, Sat.1"
8060,tt0804505,Married Life,"Firm Films, Sidney Kimmel Entertainment, Anonymous Content"
452008,tt6777056,Closeness,"Example of Intonation, Alexander Sokurov's Fund"
26137,tt0424273,Electric Shadows,
26005,tt0123328,Made in Hong Kong,"Nicetop Independent Ltd, Team Work Production House"
47184,tt0043801,Repast,Toho Co.
21513,tt0365514,Moon Child,"Mainichi Shinbunsha, Culture Publishers (CP), Twins Japan, Wowow Films, Shochiku Co., Ltd."
390592,tt4211044,Adult Life Skills,"Pico Pictures, Filmgate Films, Film i Väst"
501606,tt6615894,Ranam,"Lawson Entertainment, Yes Cinema Production"
42233,tt0074254,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson","United Artists, Lions Gate Films"
537655,tt6284064,The Bears' Famous Invasion of Sicily,"Prima Linéa Productions, Indigo Film, France 3 Cinéma, Pathé Contemporary Films"
37433,tt0185481,Neo Tokyo,"Project Team Argos, Madhouse, Magic Capsule, Kadokawa Shoten, Kadokawa"
58513,tt0042235,The Beauty of the Devil,
221801,tt1754257,Naked as We Came,
16026,tt0081590,The Charter Trip,"Ri-Film, Viking Film, Europa Film"
40171,tt1274293,Woochi : The Demon Slayer,"CJ Entertainment, Zip Cinema, Daemyung Culture Factory"
18917,tt0095715,Alice,"Channel Four Films, Condor Films, HR, SRG SSR"
27313,tt0067229,I Drink Your Blood,Jerry Gross Productions
896,tt0052572,The World of Apu,Satyajit Ray Productions
6935,tt0267129,Yamakasi,"EuropaCorp, Leeloo Productions, Canal+"
270302,tt2717860,The Riot Club,"British Film Institute, HanWay Films, Blueprint Pictures"
249638,tt3452948,Something Must Break,"Garagefilm International, Fasad Postproduktion, Film i Väst"
10722,tt0112922,The Day of the Beast,"Canal+ España, Sociedad General de Televisión (Sogetel), Iberoamericana Films Produccion"
137698,tt2301592,The Dance of Reality,"Le Soleil Films, Caméra One"
38628,tt0807943,Dhee,
36488,tt0031067,Bachelor Mother,RKO Radio Pictures
77950,tt1860353,Turbo,"DreamWorks Animation, CJ Entertainment"
76359,tt0283269,Boomerang,"Film Link Inc., Vans, Zillion Films"
285024,tt3687186,Heaven Knows What,"Elara Pictures, Hardstyle, Iconoclast"
262973,tt2002868,Anegan,AGS Entertainment
32575,tt0064855,Putney Swope,Herald Productions (II)
71524,tt0083580,Ace of Aces,"Bavaria Film, Rialto Films, Gaumont International, Cerito Films, Gaumont"
13892,tt0189981,Scarfies,Nightmare Productions
637920,tt10431500,Miracle in Cell No. 7,"Lanistar Media, Motion Content Group, CJ Entertainment Turkey"
413762,tt5158522,The Levelling,Wellington Films
20778,tt0054821,Le Doulos,"Rome Paris Films, Compagnia Cinematografica Champion"
67198,tt1421048,Bloodworth,Sony Pictures Home Entertainment
327877,tt0263074,The Unforgettable Director of Romantic Movies,Erler Film
587030,tt9900782,Kaithi,"Dream Warrior Pictures, Vivekandanda Pictures"
38142,tt0983213,5 Centimeters per Second,CoMix Wave Films
510034,tt6705860,Diane,"Sight Unseen Pictures, AgX"
4233,tt0120082,Scream 2,"Miramax, Konrad Pictures, Maven Entertainment, Dimension Films, Lionsgate"
254200,tt3305316,A Second Chance,"Zentropa Entertainments, Zentropa International Sweden, Film i Väst, FilmFyn, Det Danske Filminstitut, Svenska Filminstitutet, Eurimages, Nordisk Film & TV Fond, Danmarks Radio (DR), SVT"
761226,tt13381376,Welcome Home,
41961,tt0095574,Little Vera,Gorky Film Studios
16700,tt0487195,Bonneville,"SenArt Films, Drop of Water Productions"
15723,tt0189584,The Big Kahuna,"Franchise Pictures, Trigger Street Productions"
136080,tt2076850,Escape,"FilmFondet Fuzz, Fantefilm"
25518,tt0115650,Beautiful Green,"Les Films Alain Sarde, TF1 Films Production"
9659,tt0079501,Mad Max,"Kennedy Miller Productions, Crossroads, Mad Max Films, American International Pictures"
196750,tt2636124,Ghost in the Shell Arise - Border 1: Ghost Pain,"Bandai Visual, Toho Co., Production I.G, Kodansha"
344556,tt4079152,The Dead End,
663870,tt11655202,Riders of Justice,"Zentropa International Sweden, Film i Väst, Zentropa Entertainments"
5781,tt0075824,That Obscure Object of Desire,"Incine, Greenwich Film Production, Les Films Galaxie"
10309,tt0067227,The Merchant of Four Seasons,Tango Film
485789,tt6727296,Bhaagamathie,UV Creations
79707,tt1839494,Children Who Chase Lost Voices,"CoMix Wave Films, Media Factory"
127864,tt1854513,Blancanieves,"Eurimages, Motion Investment Group, Arcadia Motion Pictures, Noodles Production, uFilm, Banque Postale Image 4, Canal+ España, ICAA, Le Tax Shelter du Gouvernement Fédéral de Belgique, Palatine Étoile 9, Umedia, uFund, ICEC, Nix Films, Kraken Films, The, Sisifo Films AIE, CNC, ARTE France Cinéma, TV3, TVE, Sundance Institute"
41425,tt0220631,The Sea,Peccadillo Pictures
8366,tt0248408,Manitou's Shoe,"Seven Pictures, herbX Film"
615911,tt10692888,Ponmagal Vandhal,2D Entertainment
46911,tt1413529,Golden Slumber,
36801,tt1196204,Cemetery Junction,Gervais/Merchant
296865,tt4569240,A Monster with a Thousand Heads,Buenaventura
81751,tt0036699,Casanova Brown,International Pictures
398173,tt4003440,The House That Jack Built,"Zentropa Entertainments, Copenhagen Film Fund, Slot Machine, Film i Väst, Zentropa International Sweden, Zentropa International France, Zentropa International Köln"
440021,tt5308322,Happy Death Day,"Vesuvius Productions, Blumhouse Productions, Digital Riot Media"
284288,tt3001638,Mary Kom,"Viacom 18 Motion Pictures, Bhansali Productions"
20982,tt0988982,Naruto Shippuden the Movie,Pierrot
16852,tt0087432,When the Raven Flies,"Viking Film, Svenska Filminstitutet, Film"
79382,tt1650453,I Wish,"Chugoku Broadcasting (RCC), jeki"
43886,tt0026056,Alice Adams,RKO Radio Pictures
408435,tt5287168,Sami Blood,"Bautafilm, Digipilot, SVT, Nordisk Film, Nordisk Film"
430447,tt6336356,Mary and the Witch's Flower,STUDIO PONOC
51306,tt1737237,Lost on Journey,
95402,tt0053017,Lonelyhearts,"United Artists, Dore Schary Productions"
256057,tt3499048,Güeros,"UNAM, Catatonia Films, Consejo Nacional para la cultura y las artes"
543,tt0019702,Blackmail,British International Pictures
37612,tt0249336,Aha Naa Pellanta,
108248,tt0308280,Friends,Swargachitra
32831,tt0062767,"Buona Sera, Mrs. Campbell","Connaught Productions, United Artists"
11481,tt0059646,Repulsion,"Compton Films, Tekli British Productions"
220923,tt2387627,Zinda Bhaag,Matteela Films
619239,tt8028150,The Diary of Diana B.,"Hulahop Production, This and That Productions"
356218,tt4425152,Girls Lost,
2576,tt0052738,The Diary of Anne Frank,George Stevens Productions
39205,tt0498536,Detective Conan: The Private Eyes' Requiem,
43776,tt0222150,The Waiting List,"ICAIC, Tornasol Films, Producciones Amaranta, DMVB Films, Canal+, Programa Ibermedia, Road Movies Filmproduktion, Tabasco films, Vía Digital"
50737,tt1668191,Hunting Season,"Pro Film, Fida Film"
42988,tt0057681,The Wheeler Dealers,Filmways Pictures
371435,tt5857968,Kuttrame Thandanai,"Tribal Art Productions, Don Production"
447362,tt6598238,Life in a Year,Overbrook Entertainment
15366,tt0416471,American Gun,"Spirit Dance Entertainment, IFC Films, Participant"
108,tt0108394,Three Colors: Blue,"France 3 Cinéma, CED Productions"
3509,tt0405296,A Scanner Darkly,"Warner Independent Pictures (WIP), Thousand Words, Detour Filmproduction, Section Eight, 3 Arts Entertainment"
611698,tt9685342,A Writer's Odyssey,"United Entertainment Partners, 华策影业（上海）有限公司"
13560,tt0290210,Max,"Pathé Pictures International, Film Council, Alliance Atlantis Communications, AAMPI Inc., The Canadian Film or Video Production Tax Credit (CPTC), H2O Motion Pictures, Aconit Pictures, JAP Films, Natural Nylon II, Neue Bioskop Film"
33606,tt0418887,We Are Not Angels 2,"RTV Pink, Delirium"
5048,tt0102722,Prospero's Books,"Caméra One, Allarts, Cinéa"
27930,tt0081441,Rude Boy,
500494,tt7794524,Naa Peru Surya - Naa Illu India,"Ramalakshmi Cine Creations, Whacked Out Media"
338924,tt4508986,What's Left of You,ANS Prodüksiyon
104607,tt0049043,Main Street,"Play Art, Ibéria Films, Guión Producciones Cinematográficas, Suevia Films"
262500,tt2908446,Insurgent,"Summit Entertainment, Red Wagon Entertainment, Mandeville Films, NeoReel, Lionsgate"
46748,tt0139564,See the Sea,"Local Films, Fidélité Productions"
43875,tt0027948,Mary of Scotland,RKO Radio Pictures
518497,tt7142506,Sir,"Inkpot Films Private Limited, Ciné-Sud Promotion"
552436,tt8665634,Qismat,Shri Narotam Ji Production
127901,tt2085002,Eat Sleep Die,"Anagram, Film i Skåne, Film i Väst"
27102,tt0087821,Full Moon in Paris,"Les Films Ariane, Les Films du Losange"
284279,tt3102440,Burnout,Filmkameratene
499990,tt6405208,Mufti,Jayanna Combines
427648,tt2461340,Till We Meet Again,Indeed films
11300,tt0091983,Something Wild,"Orion Pictures, Religiosa Primitiva"
66488,tt0065086,That Cold Day in the Park,"Factor-Altman-Mirell Films, Commonwealth United Entertainment"
46106,tt1508290,Caterpillar,"Skhole Co., Wakamatsu Production"
55207,tt0031359,Gaslight,British National Films
77660,tt0075467,The Fifth Seal,"Mafilm, Budapest Filmstúdió"
39008,tt0076252,The Year of the Hare,Filminor
423093,tt5517438,7 Years,"Metronome Musica de Peliculas, Cactus Flower"
472054,tt6730898,Lazer Team 2,Rooster Teeth Productions
44059,tt0157339,Baton Baton Mein,Cineye Films
51520,tt1020972,Blind Mountain,
39872,tt0226874,Female Prisoner Scorpion: Jailhouse 41,Toei Company
