imdbID,imdbDirectorID,DirectorName
tt0078780,nm0513974,Steven Lisberger
tt5451244,nm0554532,Manuel Martín Cuenca
tt0190506,nm0532702,Juliusz Machulski
tt0448206,nm1249945,Shaad Ali
tt0219405,nm0122672,Gary Burns
tt8176054,nm6041683,Mari Selvaraj
tt8176054,nm10328250,Prabunath
tt0376890,nm0000626,John Sayles
tt0352230,nm0033005,Vicente Aranda
tt2589132,nm1857470,Faozan Rizal
tt0120746,nm0132709,Martin Campbell
tt2196254,nm5326250,Anurag Singh
tt0098412,nm0382776,Anthony Hickox
tt0427309,nm0000243,Denzel Washington
tt0325596,nm0725345,Roland Suso Richter
tt1124394,nm1457822,Antti-Jussi Annila
tt1838603,nm0626686,Sandra Nettelbeck
tt2007993,nm0917669,Te-Sheng Wei
tt0838231,nm0242064,Peter Duncan
tt2172584,nm0000343,David Cronenberg
tt6061074,nm3229507,Olivia Newman
tt0378897,nm0099552,Tassos Boulmetis
tt0787523,nm0050332,Alan Ball
tt0057295,nm0393094,Ishirô Honda
tt4769824,nm0441090,Sunao Katabuchi
tt0480083,nm0774221,Gregor Schnitzler
tt0382988,nm1029210,Yannis Economides
tt3758708,nm1837403,John Jencks
tt0053716,nm0850895,Frank Tashlin
tt0192657,nm0437625,Je-kyu Kang
tt0212974,nm0365615,Greg Harrison
tt1846492,nm1435889,Andrzej Jakimowski
tt0069818,nm0223964,Fernando Di Leo
tt0293662,nm0504642,Louis Leterrier
tt0293662,nm0477035,Corey Yuen
tt5936692,nm4956873,Jan P. Matuszynski
tt0050629,nm0368871,Henry Hathaway
tt0077383,nm0850601,Béla Tarr
tt0430431,nm0756935,Michael O. Sajbel
tt3914332,nm1336595,Demetri Martin
tt1999987,nm2035886,Drake Doremus
tt7983894,nm0497274,Francis Lee
tt0093223,nm0000519,David Mamet
tt0365938,nm0973835,Josh Sternfeld
tt0104362,nm0878638,David Twohy
tt0340377,nm0565336,Tom McCarthy
tt0088299,nm0000806,Bille August
tt0119937,nm0416945,Steve James
tt8430598,nm2528451,Josephine Decker
tt4602066,nm0506802,Ben Lewin
tt6987770,nm0505741,Victor Levin
tt0177858,nm0015359,Fatih Akin
tt1426352,nm1732946,Hélène Cattet
tt1426352,nm1729104,Bruno Forzani
tt1355631,nm1026778,Brad Furman
tt0093894,nm0001274,Paul Michael Glaser
tt0080461,nm0006837,Bill Melendez
tt0080461,nm0738736,Phil Roman
tt0109219,nm0001775,Whit Stillman
tt0167137,nm0081540,Susanne Bier
tt0073114,nm0000076,François Truffaut
tt0009878,nm0652650,Richard Oswald
tt5247704,nm0458251,Cédric Klapisch
tt0117784,nm0326837,Steve Gomer
tt0059776,nm0417352,Miklós Jancsó
tt0102293,nm0482670,Ngai Choi Lam
tt0033727,nm0281487,Dave Fleischer
tt0840046,nm0345685,Gunnar B. Gudmundsson
tt5193790,nm0578757,Christopher Menaul
tt0030252,nm0138893,Marcel Carné
tt0314524,nm0046636,Reza Bagher
tt0168629,nm0001885,Lars von Trier
tt0075007,nm0483812,Robert Lamoureux
tt1185616,nm0284369,Ari Folman
tt1580704,nm0440604,Anurag Kashyap
tt1233301,nm0257646,Jonathan English
tt0022694,nm0726166,Leni Riefenstahl
tt0022694,nm0049462,Béla Balázs
tt1827528,nm1992380,Benjamin Cantu
tt0124207,nm0161056,Pavel Chukhray
tt0435651,nm0637518,Phillip Noyce
tt0470967,nm1117726,Equan Choi
tt0086904,nm0437709,Marek Kanievska
tt5369484,nm4357944,Anne Zohra Berrached
tt1233381,nm0149196,Nuri Bilge Ceylan
tt2022522,nm1181881,Tareque Masud
tt12397078,nm6475073,Joseph Chen-Chieh Hsu
tt0468489,nm0281396,Ryan Fleck
tt0368896,nm0854158,Teja
tt0075094,nm0229210,Aleksandar Djordjevic
tt0988595,nm0281945,Anne Fletcher
tt0044811,nm0000005,Ingmar Bergman
tt0055719,nm0005789,Rudolph Maté
tt0254463,nm0258732,Reha Erdem
tt0068718,nm0946811,Peter Yates
tt0082045,nm0826642,Steno
tt1343046,nm0945506,Yasuichirô Yamamoto
tt0003740,nm0665163,Giovanni Pastrone
tt0062645,nm0824216,Giorgio Stegani
tt0064747,nm0381638,Gordon Hessler
tt0208032,nm0865573,Ricky Tognazzi
tt1609168,nm1069826,Gautham Vasudev Menon
tt0480732,nm0014152,Humayun Ahmed
tt0043625,nm0077587,John Berry
tt1895587,nm0565336,Tom McCarthy
tt3661798,nm4772133,July Jung
tt0102825,nm0195934,Lawrence D'Souza
tt1094627,nm0538529,Hana Makhmalbaf
tt5998104,nm4395136,Ganesh Raj
tt0236019,nm0855300,Jonathan Teplitzky
tt1646114,nm0523665,Sergey Loznitsa
tt3077108,nm3034178,Desiree Akhavan
tt1566601,nm1108967,Christos Dimas
tt0042053,nm0712947,Nicholas Ray
